mot_cle,volume,volume_dfs,ratio_dfs_sem,kd,kd_dfs,cpc,mode,source
taille haie sur perche,5400,8100,1.5,19,,"0,23 $",PRODUIT PUR,mesure-express-pur-lot3-local.json
art de la table,4400,5400,1.227,33,10,,UNIVERS,mission-b-28/08
billot,4400,5400,1.227,14,0,,UNIVERS,mission-b-28/08
rideau thermique anti froid,4400,5400,1.227,16,0,,UNIVERS,mission-b-28/08
rideau phonique,4400,4400,1.0,15,0,,UNIVERS,mission-b-28/08
tringle à rideau,4400,6600,1.5,26,0,,UNIVERS,mission-b-28/08
embrasse rideau,4400,6600,1.5,,,,UNIVERS,mission-b-28/08
double rideaux,4400,5400,1.227,20,0,,UNIVERS,mission-b-28/08
tire bouchon electrique,4400,5400,1.227,17,0,,UNIVERS,mission-b-28/08
cave a vin encastrable,4400,4400,1.0,13,0,,UNIVERS,mission-b-28/08
cave a vin la sommeliere,4400,6600,1.5,23,23,,UNIVERS,mission-b-28/08
bottes de pressothérapie,4400,6600,1.5,17,,"0,58 $",PRODUIT PUR,mesure-express-pur-lot1-local.json
pompe piscine hors sol,4400,4400,1.0,17,,"0,16 $",PRODUIT PUR,mesure-express-pur-lot3-local.json
plateau apero,3600,6600,1.833,15,0,,UNIVERS,mission-b-28/08
parfum d'intérieur,3600,5400,1.5,25,0,,UNIVERS,mission-b-28/08
brule parfum,3600,5400,1.5,15,0,,UNIVERS,mission-b-28/08
rideau isolant thermique,3600,5400,1.5,33,17,,UNIVERS,mission-b-28/08
isolant thermique pour rideaux,3600,5400,1.5,15,17,,UNIVERS,mission-b-28/08
rideau en lin,3600,5400,1.5,23,0,,UNIVERS,mission-b-28/08
rideau sur mesure,3600,5400,1.5,28,8,,UNIVERS,mission-b-28/08
rideaux sur mesure,3600,5400,1.5,28,8,,UNIVERS,mission-b-28/08
